Pays;CODE;Cat;Nom;Fréquence;Altitude;Latitude;Longitude
LF;LFCV;AD;Villefranche de Rouergue (12);123.5;1104;44.3689;2.02694;
LF;LFHV;AD;Villefranche Tarare (69);118.25;1076;45.92;4.635;
LF;LFCW;AD;Villeneuve sur Lot (47);123.6;193;44.3992;0.759444;
LF;LFNF;AD;Vinon (83);118.15;903;43.7364;5.78306;
LF;LFQS;AD;Vitry en Artois (62);123.5;174;50.3383;2.99333;
LF;LFSK;AD;Vitry le François Vauclerc (51);123.5;411;48.7022;4.68333;
LF;LF1255;AD;Barrage de Pareloup (12);auto-info 123.5;2635;44.2078;2.72278;
LF;LF1756;AD;Bourcefranc (17);Auto-info 123.5;;45.8719;-1.13111;
LF;LF8359;AD;Golfe de Fréjus (83);Auto-info 123.5;;43.3344;6.69861;
LF;LF0651;AD;Juan Les Pins (06);Auto-info 123.5;;43.5656;7.1025;
LF;LF1353;AD;La Ciotat (13);Auto info 123,5;;43.1736;5.64639;
LF;LF3464;AD;La Raviège (34);auto-info 123.5;2174;43.5917;2.61028;
LF;LF5154;AD;Lac du Der (51);134,77;;48.5667;4.73;
LF;LF7034;AD;Lacs de Bonnal (70);;816;47.5178;6.36389;
LF;LF1301;AD;Martigues-Henri Fabre (13);;;43.4208;5.07778;
LF;LF0159;AD;Montrevel en Bresse (01);Auto-info 123.5;620;46.345;5.14222;
LF;LF0158;AD;Rhône-Lavours (01);Auto-info 123.5;767;45.8108;5.78139;
LF;LF1231;AD;Villefranche-de-Panat (12);Auto-info 123.5;2385;44.0992;2.69528;
